Tag	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TCGA-CD-8528-01	0	0	0.0249535456760426	0.105272232525149	0	0.189994647473825	0.0175048143573072	0.0254768281635216	0.00868864825960776	0	0	0.0843391305780231	0	0.177328686729114	0.0201630810860562	0.199777029643756	0.0461909475830994	0	0.0141855852965938	0	0	0.0861248226279054	0.26	0.0671264410341442	1.07552864655892
TCGA-CD-8529-01	0.0864985519431181	0	0.0633125252412032	0.111621776133398	0	0.153182990368244	0.0133811528641541	0	0.103864880377104	0	0	0.0297322181028009	0.00898134215474709	0.128829843921544	0.0892001499976432	0.145615379959833	0.0220868652669031	0	0.0436923236693081	0	0	0	0	0.371073640677319	0.928785825199938
TCGA-CD-8530-01	0.0403079468210563	0	0	0.0678141558588121	0	0.202625048379339	0	0.00690955669925433	0.117093008436631	0	0	0	0.00262910200231818	0.0515066752545414	0.0263161031337743	0.185627128351002	0.13082461187931	0.0226678897646998	0.0220055163352333	0.123673257084028	0	0	0.01	0.307342118754817	0.958368368303355
TCGA-CD-8531-01	0	0.341894374489906	0.163738398745687	0.0465395448806351	0	0.0394085435714969	0.0300693129717615	0.0507884890510363	0.0294276043828166	0.00608093825817315	0	0	0	0.0367135510250279	0	0.110470345220276	0	0.112701261109186	0.025644689494308	0	0.00141329439078901	0.00510965240890036	0	0.330850896509933	0.945076159359774
TCGA-CD-8532-01	0.0547731778752086	0	0.0470907061463306	0.0660293007025687	0	0.345259814172586	0	0.0263907123530052	0.0941995106106802	0	0	0.0497445483504292	0	0.146584857175261	0.0474468886255868	0.0710182801159297	0.00685406275055127	0.0207551721721157	0.0231586789650494	0.000694289984697612	0	0	0.02	0.283432229149241	0.974665399358474
TCGA-CD-8533-01	0.0809342130007069	0	0.0674637700684256	0.0676614171688667	0	0.151321937727445	0.0857315436800564	0	0.094217659375512	0	0.00670090040973103	0	0	0.0876800278523183	0.0605744615784633	0.149777700041256	0.117434753756912	0	0.0305016153403067	0	0	0	0.47	0.0256930515371163	1.0598574541163
TCGA-CD-8534-01	0.0763937601037166	0	0.0417809757513069	0.0874640259217712	0	0.146982381162623	0	0.00707339603210416	0.101257854272551	0.00902912069934266	0	0.0255762246890017	0	0.0958899844632688	0.108015780353986	0.205341947324022	0.0139786195464062	0	0.0810338528407404	0	0	0.000182076839160033	0.06	0.149335077695993	1.02452437416441
TCGA-CD-8535-01	0.0803989915601762	0	0	0.0731042389054248	0	0	0.0163826387016628	0.0262848579636579	0.0808921028636469	0	0	0.0164405065385013	0	0.518282264828948	0.0724861433783054	0.0817585726896095	0	0	0.0339696825700674	0	0	0	0.02	0.2050635864818	1.05446836421588
TCGA-CD-A486-01	0.0330351645605654	0	0.0569127600299607	0.0298416738938796	0	0.0155675439199874	0.00741851605495858	0.0262476831541869	0.0698167181570898	0.000462554710214141	0	0	0	0.502873810455283	0.0357457085763043	0.176771976841988	0	0	0	0.0444286185300144	0	0.000877271115567214	0.02	0.227537513164526	1.04973294930597
TCGA-CD-A487-01	0.0290919673898063	0	0	0.071017416553496	0	0.163723516034013	0	0.00745221951374911	0.0366811189768924	0.0349554327569094	0	0.0962971184736121	0	0.0303359809980957	0.0167778639915253	0.0740456048264728	0	0.0764762874381223	0.137103012796839	0	0	0.226042460250467	0.34	0.0522308924178363	1.09099482246551
TCGA-CD-A489-01	0.131794491287047	0	0.00876232103306531	0.13422702920024	0	0.277849486430107	0.0195072005697068	0.00261378003526633	0.042174763233672	0	0	0.0339388970975096	0.0126426584634146	0.0116550122547293	0.0509370292371399	0.157287869956905	0.0637558385022757	0	0.0506635516678841	0	0.000443394649211276	0.00174667638182573	0.02	0.196478724705219	1.00768447322458
TCGA-CD-A48A-01	0.0383634271786441	0	0.0570505463608482	0.0758429123916736	0	0.159650596045543	0.00634392878581147	0.0447608606075613	0.0241960568020208	0	0	0.0399576625249336	0.00234883877021032	0.225929247630964	0.0344630755783651	0.25865193427474	0.0076403198179811	0.00723901947699129	0.0164381872174762	0	0.00101497490665108	0.000108411629584747	0.02	0.244020858177726	0.993327698561679
TCGA-CD-A48C-01	0.0180537872999536	0	0.0439378956108577	0.114366578661438	0	0.152450931617588	0	0.0619769158319779	0.0614332258987831	0	0	0.0409088821039858	0	0.121619262581473	0.112178242561566	0.154141066135778	0.0508353228703122	0	0	0.0680978888262876	0	0	0.01	0.304959419119728	0.962439439735156
TCGA-CD-A4MG-01	0.123452766226258	0	0.0239249266250382	0.0402359260275418	0	0.194214900194451	0	0.0147991550129623	0.0475996925710048	0	0	0.0144708325485441	0	0.159205151757305	0.0840127688282369	0.194927020693196	0.0728917594273965	0	0.00828320097215111	4.35624631345121e-05	0	0.02193833665278	0.02	0.252237283423845	0.983973039541733
TCGA-CD-A4MH-01	0.0176540070239271	0	0.171347007589787	0.0879540634006647	0	0.155582697312084	0	0.0942929982145641	0.0723555651634758	0	0	0.0477621333742267	0	0.00248137813999115	0.108900016933844	0.0773248896080828	0.114280143394869	0	0.038298080933668	0	0	0.0117670189108144	0.8	-0.0165041104553119	1.08342072333698
TCGA-CG-4301-01	0.042205175639108	0	0	0.00304993764808254	0	0.244694065170651	0.0159051438668172	0.0205739239280963	0.00182481226599868	0.00908179444053067	0.00657106410558661	0	0	0.110138138424769	0.0775042116753152	0.265571644896447	0.0750873222520976	0	0.0484665856534172	0.0262312252408485	0.0468872893408864	0.00620766545134836	0	0.33590289289273	0.946161568216979
