Tag	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-F1-6874-01	2007.585	4291.933	6299.518
TCGA-F1-6875-01	-239.02757	311.33506	72.30749
TCGA-F1-A448-01	2894.466	4728.564	7623.03
TCGA-F1-A72C-01	2316.059	3614.777	5930.836
TCGA-FP-7735-01	1624.347	3709.663	5334.011
TCGA-FP-7829-01	1812.602	2256.652	4069.254
TCGA-FP-7916-01	3351.568	5535.084	8886.652
TCGA-FP-7998-01	3867.296	6427.421	10294.716
TCGA-FP-8099-01	1544.307	2609.45	4153.757
TCGA-FP-8209-01	4446.312	5872.464	10318.776
TCGA-FP-8210-01	4294.44	5795.603	10090.043
TCGA-FP-8211-01	81.12763	3142.29774	3223.42538
TCGA-FP-8631-01	1204.94	1587.977	2792.917
TCGA-FP-A4BF-01	3740.021	5840.533	9580.553
TCGA-FP-A8CX-01	371.6568	3168.4243	3540.0811
TCGA-FP-A9TM-01	-71.18305	4220.14014	4148.95709
TCGA-HF-7132-01	2339.977	4876.499	7216.476
TCGA-HF-7133-01	2205.097	4472.826	6677.923
TCGA-HF-7134-01	917.9218	2909.1924	3827.1142
TCGA-HF-A5NB-01	-314.564	2516.183	2201.619
TCGA-HJ-7597-01	-137.9265	3314.5976	3176.6712
TCGA-HU-8238-01	1496.244	3648.914	5145.159
TCGA-HU-8244-01	-1746.4912	1349.8403	-396.6508
TCGA-HU-8249-01	316.2465	3108.5245	3424.771
TCGA-HU-8602-01	1625.967	4547.268	6173.234
TCGA-HU-8604-01	2755.719	5511.156	8266.875
TCGA-HU-8608-01	2291.875	5949.425	8241.3
TCGA-HU-8610-01	2207.912	4893.58	7101.493
TCGA-HU-A4G2-01	1421.411	3294.947	4716.358
TCGA-HU-A4G3-01	731.3999	2360.3517	3091.7517
TCGA-HU-A4G8-01	977.1073	3538.7703	4515.8776
TCGA-HU-A4G9-01	-1596.0405	767.4671	-828.5734
TCGA-HU-A4GC-01	1391.5	2581.592	3973.092
TCGA-HU-A4GD-01	-1613.5083	1102.2039	-511.3044
TCGA-HU-A4GF-01	350.8682	2892.2579	3243.1261
TCGA-HU-A4GH-01	-1412.8043	2249.6421	836.8378
TCGA-HU-A4GJ-01	2152.192	6743.649	8895.841
TCGA-HU-A4GP-01	639.0181	2252.2139	2891.2319
TCGA-HU-A4GQ-01	1995.386	2995.612	4990.998
TCGA-HU-A4GT-01	388.3733	2445.3517	2833.725
TCGA-HU-A4GU-01	46.55233	1844.01726	1890.56959
TCGA-HU-A4GX-01	696.494	4242.264	4938.758
TCGA-HU-A4GY-01	4353.237	6710.728	11063.965
TCGA-HU-A4H0-01	601.7745	4327.9662	4929.7407
TCGA-HU-A4H2-01	746.8127	3135.7272	3882.5399
TCGA-HU-A4H3-01	494.6245	2610.2185	3104.8429
TCGA-HU-A4H4-01	1321.54	4497.747	5819.287
TCGA-HU-A4H5-01	11.30271	2456.71429	2468.017
TCGA-HU-A4H6-01	1463.598	3982.929	5446.527
TCGA-HU-A4H8-01	-684.3055	1918.7001	1234.3945
TCGA-HU-A4HB-01	1335.338	5698.082	7033.42
TCGA-HU-A4HD-01	1130.423	1877.618	3008.041
TCGA-IN-7806-01	165.1944	1667.2155	1832.41
TCGA-IN-7808-01	1426.4	6336.185	7762.585
TCGA-IN-8462-01	1767.191	2783.413	4550.605
TCGA-IN-8663-01	114.2787	1339.512	1453.7907
TCGA-IN-A6RI-01	-926.8944	1261.9726	335.0782
TCGA-IN-A6RJ-01	-505.2019	2056.5745	1551.3726
TCGA-IN-A6RL-01	559.4368	2545.0674	3104.5042
TCGA-IN-A6RN-01	-241.776	1789.825	1548.049
TCGA-IN-A6RR-01	113.8158	2336.894	2450.7098
