Tag	T cells	CD8 T cells	Cytotoxic lymphocytes	B lineage	NK cells	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
TCGA-BR-8367-01	1.98975994122297	1.86863219118967	1.55697771976842	1.87777836341025	0.628048143387591	3.72963992801085	2.1402829585607	2.22068493275168	3.90860465223855	8.07034303224461
TCGA-BR-8368-01	2.40151126279169	2.2945743815996	1.45273960648383	1.71987123428024	0.707622713299236	2.37308272682209	1.03355797679584	1.67141072552212	2.96156855804869	5.44491871441308
TCGA-BR-8369-01	1.69551967424706	1.54055356601006	0.882764889330029	3.12668290881155	0.612972687983383	2.33651014807366	1.20934977368751	1.76426610773406	3.25793102114271	7.30611444000757
TCGA-BR-8371-01	2.40650424867095	1.80805002960368	0.997058811311045	4.82647782321404	0.320078328548307	2.21419730104138	1.43950520667709	1.54924410384502	2.7301287918918	7.69147749155478
TCGA-BR-8372-01	2.867006005338	3.35094160275519	2.30882509130718	1.77193010588732	0.906756623209276	4.01229696388682	3.35784971590904	1.51276128542884	2.29652903371284	6.07715768248837
TCGA-BR-8373-01	2.26144239282276	2.5498758933187	1.34178589975896	1.41494414155446	0.419134490792485	3.81319727893913	2.20996260967469	2.98387605352198	3.59078986163773	7.94425430975117
TCGA-BR-8380-01	2.06799269216318	1.43637654667735	1.16126948535495	2.66023052853365	0.54695285258391	3.11693874957319	1.8607717816929	1.93341852817827	3.34918758330371	9.0108051538674
TCGA-BR-8381-01	3.47064372152894	3.73469538158727	2.28603244810852	3.32029019196777	0.794971248343072	4.07825835822318	2.31798022861323	1.61658391896225	2.76015563318306	7.00559217141933
TCGA-BR-8382-01	1.83484575885892	0.937371105529854	1.77982833380404	1.42714128549548	1.11619326454845	3.22653048870859	1.49293256519228	2.23982268643161	2.5780284122375	7.57831687844782
TCGA-BR-8384-01	2.9926077452652	3.39309728887833	2.01561033977729	2.46153018877608	0.729361269462628	3.59486212966847	2.77386858145888	1.87664050909841	3.99745999768693	8.77147028646113
TCGA-BR-8483-01	1.09473722662843	1.25650383876106	0.699666684752896	0.666916209316356	0.327040717756701	1.62205983390321	0.567367568704103	1.59906936899643	1.7984848572094	5.98254476064105
TCGA-BR-8484-01	3.33247781916508	2.79513051966002	2.04465127017127	2.88026133691399	0.513907101805169	4.2780642148987	2.36570556211096	2.26262818887807	3.24527022977718	6.76643975878679
TCGA-BR-8485-01	3.01717807561286	3.46006421902996	2.38555336206726	2.39402074523284	0.875216463955561	3.51935693609229	1.95584348582663	2.20929633621624	3.61507517217617	7.61016470450471
TCGA-BR-8487-01	1.54454231241712	1.34452602787147	1.21757444813271	0.684131794036241	0.758554140087319	2.76677298782987	1.0905013540937	1.20924814705271	1.98194608941784	5.94174171021523
TCGA-BR-8588-01	2.50082648612074	3.0247586349181	1.81220616863887	3.15402865081939	0.602739273673518	3.32478912892945	2.00478963367317	2.5063641652433	3.0577908571149	7.55770855088077
TCGA-BR-8589-01	3.37072166971137	5.04834475387031	3.11788885840583	1.04103162895544	1.4460012511358	4.19092887002992	3.25140190543057	1.7902925309294	2.64849408126943	4.80247357648209
TCGA-BR-8590-01	2.79749687803227	2.66637781523307	1.83370151083124	3.09383717392249	0.635046411685679	4.36086357100393	2.58336314954485	2.2025665484777	3.4047766164074	8.44919708321008
TCGA-BR-8591-01	2.4041477975296	1.07315141290311	1.53826239598658	2.44817676973325	0.597415353717589	3.70806345812	1.6928292893205	1.92657483836415	3.36523504665095	7.27101221016052
TCGA-BR-8592-01	2.6076335996617	2.07045201759201	1.57272176250146	3.88765809437547	0.568272921565692	3.29856527966049	2.04374258879578	2.03737457558088	3.64653874406093	8.65546616560044
TCGA-BR-8676-01	1.7440613782116	3.0784251854455	1.42379845718301	0.33060040072585	0.541681422426766	2.89908021000735	1.11354094311862	1.59026932105224	1.87956294676996	4.21747807627262
TCGA-BR-8677-01	3.186309256743	4.12254050011739	2.84843985193027	1.58327837688995	0.963194330438399	3.45542665006558	1.9489035657877	1.88045195892525	4.06216148817648	8.04991714311393
TCGA-BR-8678-01	2.24298600173024	4.94397152373387	1.46082348905279	0.896062910951585	0.690430693828535	2.80239811849709	1.09051523428012	1.8669309117745	2.78789184072652	7.04717191748715
TCGA-BR-8680-01	1.12615209008808	1.15974876670316	0.755859125958059	1.3466500284811	0.517966415533453	1.92372660449971	0.68035751068857	1.26499918112151	1.91749991209878	6.43683404700298
TCGA-BR-8682-01	2.26418272631327	1.77110503452145	1.20118109330983	2.70004041362991	0.5191764706619	3.99867758235628	2.72268382257225	2.15397201381744	3.52434046685667	7.79043103845045
TCGA-BR-8683-01	2.88269957399874	2.93666436060312	2.01212821554887	2.53116273693259	0.46962944631116	3.74140055602226	2.56472830093971	2.49006517710568	4.2565698615604	8.14719157910585
TCGA-BR-8686-01	3.26858354026167	3.89524996093673	2.56243396686384	3.56541188618318	0.784576037281808	4.01568084576977	2.46958096028265	1.99347936233963	3.76694233948811	7.22028019910198
TCGA-BR-8687-01	1.44570719112371	0.566491613255956	0.654880284968088	0.775085999848655	0.283746355543593	2.60224787443528	1.22294628573759	1.83396189235666	2.67119435513969	7.09294575179849
TCGA-BR-8690-01	2.50629502435842	3.14580502197889	2.17026948061027	1.45007728590883	0.76817642159893	3.10459431966615	1.73399834970141	1.41755202275826	1.79141755706456	6.61682929792316
TCGA-BR-A44T-01	3.57741674067477	3.08716099607097	2.11558833465132	6.64469352046741	0.941778549405612	2.83833076376059	2.76584623267696	1.42469690454283	2.35799808430498	7.10334905563125
TCGA-BR-A44U-01	0.881439063417454	0.270536582676081	0.615221107542667	0.328635410736903	0.171543931575524	1.57641440098677	0.76868760675367	1.16891601636796	2.15343095489137	6.28503901274438
TCGA-BR-A4CS-01	1.02095198137677	0.534016969581375	0.609810990128739	0.408327250243093	0.121542784090176	2.49234017064181	0.671647457547297	2.03544618437564	2.65239858248774	6.21667712371141
TCGA-BR-A4IV-01	1.73857058333676	1.14032005663266	1.31163220824309	1.98417918318052	0.548542410036713	2.79425571374881	1.9900174092045	1.86125251864154	3.70660553445547	9.71048250428972
TCGA-BR-A4J4-01	1.8957110499736	1.89360412449329	1.37457455961513	1.65631981865164	0.781558634748415	3.57566693052281	2.6214119626423	2.11819280201339	2.5391261541953	6.94924845620852
TCGA-BR-A4J5-01	1.92317468693507	1.59941939721803	1.28463439531217	2.06427501689219	0.442661576977074	3.35437642170088	1.87840049524967	1.80010342789379	3.33438803613249	8.70692409217197
TCGA-BR-A4J6-01	1.50341218971572	1.28585459672142	1.25250663082781	1.76550669487423	0.21066100271935	1.84421169526852	1.06797239921525	1.5009886941783	2.1513837361563	6.72222139934693
TCGA-BR-A4J7-01	2.83946411778423	4.48218628779498	2.41273503920456	1.60648699864038	0.964673793670259	3.41196118373878	1.83049983564386	1.61585757078423	3.06668098273954	8.24680188509237
TCGA-BR-A4J8-01	1.36636983393557	1.08901870018024	0.839071304427723	1.77224262069852	0.293253484297649	2.17293410309049	1.12013511585056	1.52528447218462	3.03860516745898	6.99912361085715
