Tag	p.value	HR	Low 95%CI	High 95%CI	type
PDE2A	0.0141229100655753	1.21940718880281	1.04075083829344	1.42873187067733	Risk
PDE3A	0.0262289863998901	1.15589259679966	1.01727838979938	1.31339435569819	Risk
PDE7B	0.0414922473501722	1.17236202821989	1.00615111239331	1.36603012040856	Risk
PDE8B	0.0131205319565923	1.34684811066897	1.06447847527378	1.70412072704994	Risk
PDE9A	0.0116868435361262	1.20365915753517	1.04214252203387	1.39020847617922	Risk
ATP8B2	0.0413817533280772	1.16413323741656	1.00595765353967	1.34718016179844	Risk
FOLR2	0.0278307244454317	1.13843061164461	1.01422847538119	1.27784250687935	Risk
SLC16A7	0.0213682525072636	1.21479758325432	1.02928926780732	1.43373997420985	Risk
SLC22A17	0.00663974041479126	1.2028367531311	1.05267028583547	1.37442490222347	Risk
SLC25A15	0.0308924736690035	0.793847465379834	0.643715966143501	0.978993580142923	Protective
SLC25A35	0.0377810896518448	0.778186027106036	0.614207518006378	0.985942820675126	Protective
SLC2A3	0.00661616625655053	1.21357456690546	1.05533773426299	1.39553735418008	Risk
SLC35A3	0.03104652260017	0.793922313124315	0.643707971215638	0.979190358768312	Protective
SLC35E4	0.0343596591509319	0.808901370223454	0.664623935556537	0.984498739428442	Protective
SLC37A2	0.0459755630238795	1.18705611360357	1.00306828656502	1.40479191269126	Risk
SLC45A1	0.0229774712118412	1.28953248263986	1.03572042357988	1.60554333575432	Risk
SLC5A1	0.0095361451058059	0.877143229672288	0.794376283367002	0.968533755941047	Protective
SLC7A2	0.000591542737198877	1.17348692055608	1.07112523982405	1.28563075681272	Risk
SLCO2A1	0.00238915469501955	1.24978555977739	1.08228674707257	1.4432071257021	Risk
SLCO4A1	0.0278151080902969	0.872592107866076	0.772818851184134	0.985246394473296	Protective
NPC2	0.00278186601666836	1.57344385368195	1.16909933273193	2.11763491037522	Risk
STARD5	0.0490296211591037	0.71820820886721	0.516549565298275	0.998593486350898	Protective
STARD8	0.00953686909345706	1.32435039972418	1.07091714988959	1.63775879528162	Risk
DEGS2	0.0469449738850416	0.894080479424262	0.800589519469244	0.998489093658722	Protective
SMPD3	0.0140321394638511	0.871145957142101	0.780351350034354	0.972504601435775	Protective
CH25H	0.0304322062997741	1.16127730765973	1.01422420029778	1.32965175243252	Risk
CYP1B1	0.011011822464551	1.12755154759309	1.02788059986299	1.2368873317086	Risk
CYP2U1	0.00231945127100732	1.37007797218689	1.11880512783035	1.67778427465016	Risk
SOAT1	0.00862043475829746	1.30668380140368	1.07025996867443	1.59533441110155	Risk
PAPSS2	0.0258686011213308	1.19257187897504	1.02142562855595	1.39239475372549	Risk
INMT	0.0290032925007564	1.14914456112558	1.01433034188509	1.30187688155946	Risk
KYNU	0.00451141097489051	1.28785185521973	1.08154412345952	1.53351339535523	Risk
